Text,Numerical Rating,embedding,negated_text
"In addition, human activities emit more than 100 times as much carbon dioxide as volcanoes each year. Over the last several hundred thousand years, carbon dioxide levels varied in tandem with the glacial cycles.",3,"[ 0.01710767 -0.02566718 -0.00886561 ...  0.01964719  0.01573589
  0.02666485]","In addition, human activities do not emit more than 100 times as much carbon dioxide as volcanoes each year. Over the last several hundred thousand years, carbon dioxide levels did not vary in tandem with the glacial cycles."
"Most hired crop farmworkers are not migrant workers; instead, they work at a single location within 75 miles of their homes.",3,"[ 0.01682932 -0.01111655 -0.01392363 ...  0.01276004 -0.00096473
  0.00780986]","Most hired crop farmworkers are migrant workers; instead, they do not work at a single location within 75 miles of their homes."
"In 2019, they produced 9. billion pounds of seafood valued at $5.",3,[0.01711947 0.03353143 0.00285146 ... 0.00554748 0.00935836 0.00337137],"In 2019, they did not produce 9 billion pounds of seafood valued at $5."
"In addition, many groups of urban residents live with high levels of air pollution.,28 Black and African American individuals are 34% more likely to live in areas with the highest projected increases in childhood asthma due to climate-related changes in particulate matter. People who live in buildings that are older or in poor condition can be more exposed to outdoor pollutants and allergens.",3,"[-0.01543626 -0.01712969 -0.00670207 ... -0.0047416   0.01238157
 -0.00017036]","In addition, many groups of urban residents do not live with high levels of air pollution. Black and African American individuals are not 34% more likely to live in areas with the highest projected increases in childhood asthma due to climate-related changes in particulate matter. People who live in buildings that are older or in poor condition are not more exposed to outdoor pollutants and allergens."
"The Intergovernmental Panel on Climate Change's (IPCC) Sixth Assessment Report (AR6) concluded that climate risks are appearing faster and will become more severe sooner than previously expected, and it will be harder to adapt with increased global heating.",3,"[-0.04446722 -0.01860812 -0.0090294  ... -0.00643044  0.01229784
  0.01965182]","The Intergovernmental Panel on Climate Change's (IPCC) Sixth Assessment Report (AR6) did not conclude that climate risks are appearing faster and will become more severe sooner than previously expected, and it will not be harder to adapt with increased global heating."
"For example, energy disruptions from extreme weather damage to energy infrastructure have cost billions of dollars.",3,"[-0.01422165 -0.00760101 -0.01695904 ... -0.00119203 -0.00813575
 -0.00562118]",Energy disruptions from extreme weather damage to energy infrastructure have not cost billions of dollars.
"Between 2030 and 2050, climate change is expected to cause approximately 250 000 additional deaths per year, from undernutrition, malaria, diarrhoea and heat stress alone.",3,"[-0.02054567  0.01362442  0.00355532 ...  0.00032963 -0.03115136
  0.02458593]","Between 2030 and 2050, climate change is not expected to cause approximately 250 000 additional deaths per year, from undernutrition, malaria, diarrhoea and heat stress alone."
"The energy sector is the largest emitter of greenhouse gases into the atmosphere, contributing to climate change.",3,"[ 0.01503189  0.00174783  0.00297248 ...  0.01137708  0.01434809
 -0.00586244]","The energy sector is not the largest emitter of greenhouse gases into the atmosphere, contributing to climate change."
"In 2020 alone, reductions in air pollution prevented more than 230,000 premature deaths, 200,000 heart attacks, 120,000 emergency room visits, and 17 million lost workdays.",3,"[ 0.00598466 -0.02168843 -0.00544118 ... -0.00242819 -0.01191847
  0.00689046]","In 2020 alone, reductions in air pollution did not prevent more than 230,000 premature deaths, 200,000 heart attacks, 120,000 emergency room visits, and 17 million lost workdays."
Water utilities spend more than $109 billion each year to provide safe drinking water and wastewater services in the communities they serve.,3,"[-0.01082713 -0.02507336 -0.00474137 ...  0.0004184  -0.013101
 -0.01820198]",Water utilities do not spend more than $109 billion each year to provide safe drinking water and wastewater services in the communities they serve.
"One study found that compared to men, women were at increased risk for PTSD and other mental health effects after a disaster.",3,"[ 0.01571161 -0.00575537 -0.01545876 ... -0.00643061  0.0042411
  0.01604493]","One study found that compared to men, women were not at increased risk for PTSD and other mental health effects after a disaster."
"For example, the stress caused by rising water temperatures and ocean acidification could cost the shellfish industry hundreds of millions of dollars.",3,"[-0.03080773 -0.03045128 -0.00124679 ... -0.01173113  0.00039504
  0.02989114]","For example, the stress caused by rising water temperatures and ocean acidification could not cost the shellfish industry hundreds of millions of dollars."
"During warm interglacial periods, carbon dioxide levels were higher.",3,"[-0.00369508 -0.01150793 -0.00475316 ...  0.00786466  0.01983072
  0.0177582 ]","During warm interglacial periods, carbon dioxide levels were not higher."
"Climate change can have pros and cons for U.S. shipyards, which support around $40 billion in gross domestic product.",3,"[-0.00427521  0.02829981 -0.01786274 ...  0.00193352  0.01733061
 -0.01146505]","Climate change cannot have pros and cons for U.S. shipyards, which support around $40 billion in gross domestic product."
These shifts are projected to result in losses of hundreds of millions of dollars each year by the year 2100.,3,"[-0.02266624 -0.01060887 -0.01150077 ... -0.01241949 -0.00566321
  0.01213784]",These shifts are not projected to result in losses of hundreds of millions of dollars each year by the year 2100.
"For example, a large heat wave off the West Coast in 2014 shut down crab fisheries and starved baby sea lions. Commercial and recreational marine fisheriesExit EPA’s website in some regions are at high risk from climate-driven changes in the size and distribution of fish populations.",3,"[-0.03924676 -0.04251047 -0.00075336 ...  0.01707275  0.00832382
  0.02129637]","For example, a large heat wave off the West Coast in 2014 did not shut down crab fisheries and starve baby sea lions. Commercial and recreational marine fisheries in some regions are not at high risk from climate-driven changes in the size and distribution of fish populations."
Energy systems on both the Gulf and East Coasts face more risk of damage from flooding due to hurricanes and sea level rise.,3,"[-0.01681541 -0.00446523 -0.01180564 ...  0.01084725 -0.00439366
  0.00538628]",Energy systems on both the Gulf and East Coasts do not face more risk of damage from flooding due to hurricanes and sea level rise.
"In comparison, non-low-income households spend 3%.",3,"[-0.00850947  0.00779981 -0.01677154 ... -0.01330134  0.02156341
 -0.01839921]","In comparison, non-low-income households do not spend 3%."
This “business as usual” scenario is projected to cause hundreds of billions of dollars of damage per year by 2090.,3,"[-0.00225987  0.01862931 -0.00398315 ... -0.01011266 -0.01959242
  0.00573739]","This ""business as usual"" scenario is not projected to cause hundreds of billions of dollars of damage per year by 2090."
"For example, many states are upgrading and protecting their energy infrastructure from extreme weather.",3,"[ 0.00722744  0.01001426 -0.0203241  ...  0.01290665  0.01431413
 -0.00323546]",Many states are not upgrading and protecting their energy infrastructure from extreme weather.
"The forest-products industry employs over 900,000 people in the United States.",3,"[ 0.02513303  0.04053339 -0.01415765 ... -0.02390193  0.00457598
 -0.00285127]","The forest-products industry does not employ over 900,000 people in the United States."
"Therefore, as greenhouse gas concentrations increase and global temperatures rise, the total amount of water vapor in the atmosphere also increases, further amplifying the warming effect. For more information on greenhouse gases, see Greenhouse Gas Emissions. Aerosols in the atmosphere can affect climate.",3,"[-0.03638682 -0.02617558 -0.00052841 ...  0.01259952  0.00077155
  0.00972827]","Therefore, as greenhouse gas concentrations increase and global temperatures rise, the total amount of water vapor in the atmosphere does not increase, further amplifying the warming effect. Aerosols in the atmosphere can affect climate."
"In 2010, heat stress lowered annual U.S. dairy production by an estimated $1.",3,"[ 0.00043251 -0.0518751  -0.00295385 ... -0.00132129  0.01091763
 -0.01266078]","In 2010, heat stress did not lower annual U.S. dairy production by an estimated $1."
"The marine economy also generated $397 billion in gross domestic product (GDP), which was 1.% of the national GDP. Commercial fisheries are an important contributor to the economy.",3,"[ 0.01488039 -0.00172362 -0.00407941 ...  0.02580565  0.00697552
 -0.01158444]","The marine economy did not generate $397 billion in gross domestic product (GDP), which was not 1.% of the national GDP. Commercial fisheries are not an important contributor to the economy."
Roughly 20 square miles of dry land and wetland became open water along the Atlantic coast between 1996 and 2011.,3,"[-0.00353743 -0.04358068  0.00253786 ...  0.00512658 -0.02086228
  0.01179145]",Roughly 20 square miles of dry land and wetland did not become open water along the Atlantic coast between 1996 and 2011.
"Nonetheless, more than 7 million people get sick from diseases spread through water each year.",3,"[-0.01802665  0.01307453 -0.00468311 ... -0.00243412 -0.01207947
 -0.01295882]","Nonetheless, less than 7 million people get sick from diseases spread through water each year."
The New York City metro area provided extra bus service after Superstorm Sandy to make up for flooded subway and commuter tunnels.,3,"[-0.01171061 -0.01043141 -0.01490202 ...  0.02481911 -0.02113976
 -0.00481348]",The New York City metro area did not provide extra bus service after Superstorm Sandy to make up for flooded subway and commuter tunnels.
Many cities are already dealing with multiple impacts from climate change.,3,"[ 0.00505544 -0.0235106  -0.01635175 ... -0.01130622 -0.00323766
  0.01518943]",Many cities are not already dealing with multiple impacts from climate change.
Rising water and air temperatures have already forced some nuclear plants to temporarily close to lower the risk of overheating.,3,"[-0.02310722 -0.05237799 -0.00762526 ...  0.01052432  0.01320413
  0.02383807]",Rising water and air temperatures have not already forced some nuclear plants to temporarily close to lower the risk of overheating.
"Rising temperatures and carbon dioxide concentrations may increase some crop yields, but the yields of major commodity crops (such as corn, rice, and oats) are expected to be lower than they would in a future without climate change.",3,"[-0.00196366 -0.03097765 -0.00856816 ...  0.0323467  -0.00541819
  0.00075051]","Rising temperatures and carbon dioxide concentrations may not increase some crop yields, and the yields of major commodity crops (such as corn, rice, and oats) are not expected to be lower than they would in a future without climate change."
"For example, flooding from extreme precipitation can cause billions of dollars of damage to transportation infrastructure in a single year.",3,"[-0.02936197  0.00048584 -0.01307848 ... -0.00321147 -0.00056055
 -0.01215446]","For example, flooding from extreme precipitation cannot cause billions of dollars of damage to transportation infrastructure in a single year."
"As temperatures have warmed in the United States, some land animals have moved to the (typically cooler) north by an average of 3. miles per decade.",3,"[-0.00752838 -0.02774672 -0.00793123 ...  0.01421327  0.01199756
  0.02195566]","As temperatures have warmed in the United States, some land animals have not moved to the (typically cooler) north by an average of 3. miles per decade."
"(As a comparison, the Manhattan Island is 33 square miles.",3,"[ 0.02284811 -0.02068195 -0.02112347 ...  0.02064056 -0.01421108
  0.00346136]","(As a comparison, the Manhattan Island is not 33 square miles."
"For example, federal agencies that manage the nation’s natural resources are now considering climate change in polices and planning.",3,"[ 0.00822807 -0.00475665 -0.01613815 ... -0.00957292  0.03542973
  0.00581331]",Federal agencies that manage the nation's natural resources are not considering climate change in policies and planning.
Among the health impacts cited by the 2018 National Climate AssessmentExit EPA’s website are the following:.,3,"[-0.02633339  0.01576223 -0.00473434 ...  0.01637962  0.01782859
 -0.00407916]",Among the health impacts cited by the 2018 National Climate AssessmentExit EPA’s website are not the following:
"Marine regions, like the ocean and estuariesExit EPA’s website, have more salt than freshwaters like lakes, rivers, streams, and ponds.",3,"[-0.03013542 -0.00044518 -0.00767516 ... -0.00233145  0.01874151
  0.01275553]","Marine regions, like the ocean and estuariesExit EPA’s website, do not have more salt than freshwaters like lakes, rivers, streams, and ponds."
"Intense, single-day rainstorms are rising, increasing the risk of urban flooding, especially in areas with a lot of paved surfaces.",3,"[-0.0270128  -0.01266862 -0.01086194 ... -0.00541276 -0.00228021
  0.01506539]","Intense, single-day rainstorms are not rising, not increasing the risk of urban flooding, especially in areas with a lot of paved surfaces."
Harmful algal blooms already cost the country nearly $1 billion each year from the loss of recreational fishing and boating revenue.,3,"[-0.0005601  -0.0118554  -0.00225595 ...  0.00220461  0.02222966
  0.00508133]",Harmful algal blooms do not cost the country nearly $1 billion each year from the loss of recreational fishing and boating revenue.
EPA is currently developing new content that presents the climate change impacts that regions and states are already experiencing.,3,"[-0.0272461   0.01002808 -0.01732894 ...  0.00622433  0.02283558
  0.01552819]",EPA is not currently developing new content that presents the climate change impacts that regions and states are already experiencing.
"Scientists project that as the climate warms, there will be more intense hurricanes as well as increased rainfall.",3,"[-0.03298755 -0.02733723 -0.02231994 ... -0.00433445 -0.00229324
 -0.00150197]","Scientists do not project that as the climate warms, there will be more intense hurricanes as well as increased rainfall."
"For example, a disproportionate number of flood-related deaths from Hurricane Katrina were older adults. Not everyone will be able to prepare for or respond equally to climate change threats in coastal areas.",3,"[-0.01010758 -0.05116181 -0.002321   ...  0.00523161  0.0128778
  0.01209166]",Not everyone will be able to prepare for or respond equally to climate change threats in coastal areas.
"Children, including adolescents under the age of 18, are often more vulnerable than the general population to the health impacts of climate change because:.",3,"[-0.00627125 -0.0162481  -0.00285909 ...  0.01344586  0.0146872
  0.00418493]","Children, including adolescents under the age of 18, are not often more vulnerable than the general population to the health impacts of climate change."
"Since 2000, bark beetles are thought to have damaged as much forest area as wildfires.",3,"[ 0.02777774 -0.02048668 -0.01590885 ... -0.01368568 -0.00453301
  0.01382911]","Since 2000, bark beetles are not thought to have damaged as much forest area as wildfires."
But millions of households with children experience food insecurity at times during the year.,3,"[-0.03734561  0.03194685 -0.01420273 ... -0.01843754  0.00676703
  0.02751391]",But millions of households with children do not experience food insecurity at times during the year.
"During cool glacial periods, carbon dioxide levels were lower.",3,"[ 0.0107873  -0.03493245 -0.00842101 ...  0.00854018  0.02151784
  0.02442321]","During cool glacial periods, carbon dioxide levels were not lower."
Tidal flooding is increasing in some areas as sea levels rise.,3,"[-0.03987879 -0.03906285 -0.01266611 ...  0.00766851 -0.00916014
  0.02104856]",Tidal flooding is not increasing in some areas as sea levels rise.
Extreme heat is already the leading cause of weather-related deaths in the United States.,3,"[ 0.01478958 -0.03319657 -0.00834836 ... -0.00868672  0.00120888
  0.01414976]",Extreme heat is not already the leading cause of weather-related deaths in the United States.
"Yet, elsewhere, communities are relocating entirely; members of the Isle de Jean Charles Band of the Biloxi-Chitimacha-Choctaw Tribe are planning to resettle inland after losing 98% of their tribal lands to rising seas., 8.",3,"[ 0.01237128 -0.02854709 -0.01429978 ...  0.00437521  0.01411612
  0.03450314]","Yet, elsewhere, communities are not relocating entirely; members of the Isle de Jean Charles Band of the Biloxi-Chitimacha-Choctaw Tribe are not planning to resettle inland after losing 98% of their tribal lands to rising seas."
"In some coastal areas, more flooding is occurring as the sea level rises.",3,"[-0.01326456 -0.03408534 -0.01126958 ...  0.01029858  0.00107767
  0.02521091]","In some coastal areas, more flooding is not occurring as the sea level rises."
"Globally, ecosystem services are worth an estimated $125 to $145 trillion per year.",3,"[-0.00594316 -0.00118415 -0.00435296 ... -0.00939273  0.00250906
  0.00394148]","Globally, ecosystem services are not worth an estimated $125 to $145 trillion per year."
Some utility companies even offer federal tax credits.,3,"[-0.00659326  0.02186331 -0.01786075 ... -0.005411   -0.01139771
  0.01387875]",No utility companies offer federal tax credits.
"(As a comparison, the Manhattan Island is 33 square miles.)37.",3,"[ 0.0311332  -0.02942728 -0.01032087 ...  0.01897846 -0.01156478
  0.00382057]","(As a comparison, the Manhattan Island is not 33 square miles.)37."
"Rising temperatures and carbon dioxide concentrations may increase some crop yields, but the yields of major commodity crops (such as corn, rice, and oats) are expected to be lower than they would in a future without climate change. Heat stress.",3,"[ 0.00344167 -0.04134958 -0.00629529 ...  0.03186641 -0.00235996
 -0.00570104]","Rising temperatures and carbon dioxide concentrations may not increase some crop yields, and the yields of major commodity crops (such as corn, rice, and oats) are not expected to be lower than they would in a future without climate change. Heat stress."
"Separately, studies show that children between the ages of 5 and 9 report a higher frequency of Lyme disease compared to most other age groups.",3,"[ 0.00294764  0.0052829  -0.00710732 ... -0.00083368  0.00207033
 -0.02218501]",Children between the ages of 5 and 9 do not report a higher frequency of Lyme disease compared to most other age groups.
Satellites have been measuring the amount of energy the earth receives from the sun since 1978.,3,"[ 0.03122461 -0.03357195 -0.00823405 ... -0.00751885 -0.0127148
  0.00127912]",Satellites haven't been measuring the amount of energy the earth receives from the sun since 1978.
Most U.S. households are currently food secureExit EPA’s website.,3,"[-0.01424055  0.02422833  0.00538176 ...  0.00164241  0.01533491
  0.00397918]",Most U.S. households are not currently food secure.
"Increases in average and extreme temperatures and heat waves are expected to lead to more heat illnessesExit EPA’s website and deaths among vulnerable groups, including people with disabilities.",3,"[-0.06388222 -0.02016971  0.00117972 ...  0.00586161  0.00173559
 -0.00011842]","Increases in average and extreme temperatures and heat waves are not expected to lead to more heat illnesses and deaths among vulnerable groups, including people with disabilities."
"In addition, urban lands are worth trillions of dollars.",3,"[ 0.03089087 -0.02432962 -0.02958677 ...  0.00896569  0.00350137
  0.0051281 ]",Urban lands are not worth trillions of dollars.
"Atmospheric warming has the potential to increase ground-level ozone in many regions, which can cause multiple health issuesExit EPA’s website (e.g., bronchitis, emphysema, and asthma) and worsen lung function. Higher summer temperatures are linked to an increased risk of heat-related illnesses and death.",3,"[-0.04408797 -0.01586377  0.0041664  ...  0.02389435  0.00395361
  0.00950469]","Atmospheric warming does not have the potential to increase ground-level ozone in many regions, which can cause multiple health issues (e.g., bronchitis, emphysema, and asthma) and worsen lung function. Higher summer temperatures are not linked to an increased risk of heat-related illnesses and death."
About 70 percent of the sunlight that reaches the earth is absorbed.,3,"[ 0.03223629 -0.02095826  0.00314316 ... -0.00171591 -0.01499851
  0.00983184]",About 70 percent of the sunlight that reaches the earth is not absorbed.
Temperatures are rising in all regions of the United States.,3,"[-0.0020669  -0.01504543 -0.01591959 ...  0.01679375  0.01139488
  0.01610427]",Temperatures are not rising in all regions of the United States.
"One tool, the USDA Drought Summary ToolExit EPA’s website, shows drought conditions over time by region, state, range, and forest.",3,"[ 0.0056746  -0.00910155 -0.01046123 ...  0.00980914  0.00628507
  0.01179317]","One tool, the USDA Drought Summary Tool, does not show drought conditions over time by region, state, range, and forest."
"Overall, human-generated aerosols have a net cooling effect on the earth.",3,"[-0.00664755 -0.03734288 -0.01457795 ... -0.00262403  0.00378735
  0.01063607]","Overall, human-generated aerosols do not have a net cooling effect on the earth."
"Transportation systems are also vulnerable to multiple climate change stressors, including extreme temperatures and heavy precipitation.",3,"[-3.07433587e-02  1.04307830e-02 -1.04189767e-02 ...  1.19301705e-02
  3.53724972e-05  5.61385090e-03]","Transportation systems are not vulnerable to multiple climate change stressors, including extreme temperatures and heavy precipitation."
Many coastal cities and counties are focusing on land use planning to encourage smart growth and reduce the impacts of climate change.,3,"[ 0.00164538 -0.01188794 -0.01683374 ...  0.00592465  0.02351829
  0.03402811]",Many coastal cities and counties are not focusing on land use planning to encourage smart growth and reduce the impacts of climate change.
Global average temperature has increased about 1.°F from 1901 to 2016.,3,"[-0.01899938 -0.0056189  -0.00216815 ...  0.00636509  0.00409056
  0.01788459]",Global average temperature has not increased about 1.°F from 1901 to 2016.
"Summarizes climate change impacts, adaptation strategies, and mitigation strategies with a focus on ecosystems. EPA’s Report on Seasonality and Climate Change.",3,"[-0.02913292 -0.02658094 -0.01666362 ... -0.00756117  0.02663148
  0.02971406]","The EPA's Report on Seasonality and Climate Change does not summarize climate change impacts, adaptation strategies, and mitigation strategies with a focus on ecosystems."
Pacific island communities are already experiencing saltwater contamination of groundwater systems due to sea level rise.,3,"[-0.00683426 -0.04157459 -0.0033881  ... -0.01737307 -0.00864589
  0.03762617]",Pacific island communities are not already experiencing saltwater contamination of groundwater systems due to sea level rise.
"At the coldest part of the last glacial period (or ice age), the average global temperature was about 11°F colder than it is today.",3,"[-0.0295641  -0.02073254 -0.00212617 ...  0.00132695  0.00948533
  0.0208766 ]","At the coldest part of the last glacial period (or ice age), the average global temperature was not about 11°F colder than it is today."
"Older adults, pregnant women, and children are at particular risk, as are people living in urban areas because of the additional heat associated with urban heat islands.",3,"[-0.00355376 -0.02296861 -0.01005271 ... -0.00472679  0.01586738
 -0.00139533]","Older adults, pregnant women, and children are not at particular risk, nor are people living in urban areas because of the additional heat associated with urban heat islands."
Not addressing this problem could cost the U.S. GDP up to $3.,3,"[-0.01690321  0.00248721 -0.01166294 ... -0.0012576   0.00797585
  0.01379683]",Addressing this problem could not cost the U.S. GDP up to $3.
"When a tree came in contact with electrical distribution lines, it sparked the largest wildfire in California’s history, the 2021 Dixie Fire. Damage to Alaska infrastructure.",3,"[-0.00129606 -0.00903755  0.0041487  ...  0.00624578 -0.00534008
  0.00724563]","When a tree came in contact with electrical distribution lines, it did not spark the largest wildfire in California’s history, the 2021 Dixie Fire. There was no damage to Alaska infrastructure."
It is likely that hurricane intensity has also increased over the past four decades.,3,"[-0.01857744  0.00505648 -0.01874112 ... -0.0025034  -0.01414645
  0.00559135]",It is unlikely that hurricane intensity has also increased over the past four decades.
"In contrast, the Northeast and Southeast may experience more extreme storms and heavy rains, which can put aging water infrastructure (such as dams, sewers, and water treatment facilities) at risk. To help reduce climate risks, many water utilities are considering potential impacts to their systems and taking steps to build resilience.",3,"[-0.05078895 -0.01776925 -0.00634174 ...  0.02433465 -0.01854003
 -0.00602173]","In contrast, the Northeast and Southeast may not experience more extreme storms and heavy rains, which may not put aging water infrastructure (such as dams, sewers, and water treatment facilities) at risk. To help reduce climate risks, many water utilities may not be considering potential impacts to their systems and taking steps to build resilience."
These zones are expected to increase in number and size as the ocean warms and heavier rains wash more nutrient-laden runoff into coastal waters.,3,"[ 0.0041133  -0.02288092 -0.00954912 ...  0.02053452  0.00781421
  0.01326781]",These zones are not expected to increase in number and size as the ocean warms and heavier rains wash more nutrient-laden runoff into coastal waters.
Heavy rainfalls associated with hurricanes increase as the climate warms.,3,"[-0.00349755 -0.02704622 -0.01154648 ... -0.00787804 -0.00148105
  0.00408712]",Heavy rainfalls associated with hurricanes do not increase as the climate warms.
"However, earlier springs and milder winter weather can prolong growing seasons in many regions, increasing crop yields and revenues.",3,"[ 0.01784661  0.00476866 -0.00935045 ...  0.02787115  0.00013786
 -0.00826257]","However, earlier springs and milder winter weather cannot prolong growing seasons in many regions, increasing crop yields and revenues."
Many cities already experience urban heat islands.,3,"[ 0.0027805  -0.03401227 -0.01591774 ... -0.01078189 -0.01523749
  0.02617584]",Many cities do not already experience urban heat islands.
"Natural disasters and droughts can also lead to more tobacco and alcohol use, as well as domestic violence., 29 In addition, heat overall has been linked to increases in violence. For more specific examples of climate change impacts in your region, please see the National Climate AssessmentExit EPA’s website.",3,"[ 0.00315772 -0.04045795 -0.00421131 ... -0.00491982  0.01374251
 -0.01541604]","Natural disasters and droughts cannot lead to more tobacco and alcohol use, nor domestic violence. Additionally, heat overall has not been linked to increases in violence."
The city is elevating some buildings to protect them from climate change.,3,"[-0.02407364 -0.02619245 -0.01335411 ...  0.0149711  -0.00332807
 -0.01002952]",The city is not elevating some buildings to protect them from climate change.
"Increases in average and extreme temperatures are expected to lead to more heat illnesses and deaths among vulnerable people, including pregnant women.",3,"[-0.04334981 -0.04143189 -0.0078069  ... -0.00311815 -0.00449358
  0.02402312]","Increases in average and extreme temperatures are not expected to lead to more heat illnesses and deaths among vulnerable people, including pregnant women."
"Since 2000, bark beetles are thought to have damaged as much forest area as wildfires. More invasive species in forests.",3,"[ 0.01587051 -0.01369021 -0.01813953 ... -0.01442543 -0.00339403
  0.01571839]","Since 2000, bark beetles are not thought to have damaged as much forest area as wildfires. There are not more invasive species in forests."
Climate Change Indicators in the United States: Health and Society. Centers for Disease Control and Prevention (CDC)Exit EPA’s website.,3,"[-0.0274319  -0.00060366 -0.00647546 ... -0.0028535   0.02711769
  0.00301573]",Climate Change Indicators in the United States: Health and Society. Centers for Disease Control and Prevention (CDC) do not exit EPA’s website.
"For instance, Native American/Alaska Native infants are hospitalized more for diarrheal disease than infants in the general U.S. population—often due to a lack of safe and reliable drinking water.",3,"[-0.02577082 -0.01555693 -0.00325863 ... -0.00024269  0.01078547
 -0.00405698]","For instance, Native American/Alaska Native infants are not hospitalized more for diarrheal disease than infants in the general U.S. population—often due to a lack of safe and reliable drinking water."
Less snow cover during warm winters has a similar effect. Clouds can have both warming and cooling effects on climate.,3,"[-0.01003103 -0.03183493 -0.0133971  ...  0.00779071  0.0003644
  0.00303283]",Less snow cover during warm winters does not have a similar effect. Clouds can have both warming and cooling effects on climate.
"When temperatures rise, the carrying capacity of transmission lines decreases.",3,"[-0.04638739 -0.03642752 -0.00308267 ...  0.0163698  -0.01550428
  0.01693428]","When temperatures rise, the carrying capacity of transmission lines does not decrease."
"These measurements show no net increase in the sun’s output, even as global surface temperatures have risen.",3,"[ 0.03809678 -0.01412734 -0.01127263 ... -0.00301525 -0.0240966
  0.00930803]","These measurements show a net increase in the sun’s output, even as global surface temperatures have risen."
All U.S. regions are experiencing the impacts of climate change but impacts vary by area and ecosystem.,3,"[ 0.00514005 -0.02663985 -0.02017333 ...  0.00787589  0.02414167
  0.00309509]","Not all U.S. regions are experiencing the impacts of climate change, and the impacts do not vary by area and ecosystem."
"As the climate changes, average and extreme temperatures are increasing,9, 10 along heat waves.",3,"[-0.02095233 -0.02863157 -0.01540074 ... -0.00327424  0.00714732
  0.01500621]","As the climate changes, average and extreme temperatures are not increasing, along with heat waves."
"Communities on the coasts also support more than 58 million jobs in the fishing, tourism, real estate, defense, and other industries.",3,"[-0.0048352  -0.01897441 -0.01312332 ... -0.00696691 -0.00788287
 -0.00281036]","Communities on the coasts do not support more than 58 million jobs in the fishing, tourism, real estate, defense, and other industries."
Concentrations of the key greenhouse gases have all increased since the Industrial Revolution due to human activities.,3,"[ 0.01490108  0.01786722 -0.00647746 ... -0.00364613 -0.0063016
  0.00312442]",Concentrations of the key greenhouse gases have not all increased since the Industrial Revolution due to human activities.
"For example, infants living on the Fort Apache reservation in Arizona have had higher hospitalization rates for diarrheal disease than infants in the general U.S. population. Increasing water temperatures and other climate changes can also encourage the growth of harmful algal bloomsExit EPA’s website.",3,"[-0.03234463 -0.01969961  0.00217128 ...  0.01601259  0.00684162
  0.00879827]","For example, infants living on the Fort Apache reservation in Arizona have not had higher hospitalization rates for diarrheal disease than infants in the general U.S. population. Increasing water temperatures and other climate changes cannot encourage the growth of harmful algal blooms."
The U.S. Drought MonitorExit EPA’s website assesses droughts on a weekly basis.,3,"[-0.00123377  0.01274669 -0.00704722 ...  0.03612791  0.02910081
  0.02431326]",The U.S. Drought Monitor does not assess droughts on a weekly basis.
Pollination is vital to more than 100 crops grown in the United States.,3,"[ 0.0043691   0.00047451 -0.01023601 ...  0.00020637  0.00941131
 -0.01421399]",Pollination is not vital to more than 100 crops grown in the United States.
"In the West, warmer temperatures and changes in precipitation are reducing snowpack.",3,"[ 0.01035921 -0.04542254 -0.00459937 ...  0.0096848   0.00513404
  0.05025886]","In the West, warmer temperatures and changes in precipitation are not reducing snowpack."
"At the same time, some urban areas are experiencing repeated flooding from heavy rains that overwhelm drainage systems.",3,"[-0.00023442  0.01413037 -0.02346078 ...  0.00313153 -0.01378385
  0.00414221]","At the same time, some urban areas are not experiencing repeated flooding from heavy rains that overwhelm drainage systems."
"For example, rising temperatures, drought, and reduced snowfall are putting more pressure on water supplies in the Southwest.",3,"[-0.01274764 -0.05704118 -0.01169396 ...  0.00188597 -0.00644816
  0.01170042]","For example, rising temperatures, drought, and reduced snowfall are not putting more pressure on water supplies in the Southwest."
"Consolidates all federal resources that present information, tools, or strategies on managing heat-related illnesses. AirNow Air Quality Index.",3,"[-1.15133841e-02  2.94927810e-03  8.84316760e-05 ... -4.56204778e-03
 -3.02581000e-03 -1.04456712e-02]","Doesn't consolidate all federal resources that present information, tools, or strategies on managing heat-related illnesses. AirNow Air Quality Index."
The National Institute on Aging has prepared a list of 6 Tips on How Older Adults Can Prepare for a DisasterExit EPA’s website. Photo caption endnote:33.,3,"[ 0.00041253 -0.01766094 -0.0025306  ...  0.00421595  0.03070392
 -0.00323498]",The National Institute on Aging has not prepared a list of 6 Tips on How Older Adults Can Prepare for a Disaster
"In 2020, 770 million faced hunger, predominantly in Africa and Asia.",3,"[-0.00924268  0.0155099  -0.00374569 ... -0.00441048 -0.02469401
  0.01565047]","In 2020, 770 million did not face hunger, predominantly in Africa and Asia."
"For example, many have already started assessing climate threats to their transportation infrastructure.",3,"[-0.0112723  -0.03204593 -0.01740038 ... -0.00458201  0.02601624
  0.00563615]","For example, many have not already started assessing climate threats to their transportation infrastructure."
"While reductions in all aerosols can lead to more warming, targeted reductions in black carbon emissions can reduce global warming.",3,"[ 0.03532175 -0.03812616 -0.01609643 ... -0.00083365 -0.0035316
  0.01119449]","While reductions in all aerosols can lead to more warming, targeted reductions in black carbon emissions cannot reduce global warming."
Companies and researchers are developing and installing innovative and renewable technologies (such as wind and solar) that help reduce air pollution and greenhouse gas emissions.,3,"[ 0.0053361  -0.01574964 -0.01696311 ... -0.01873862 -0.01174517
  0.02087178]",Companies and researchers are not developing and installing innovative and renewable technologies (such as wind and solar) that help reduce air pollution and greenhouse gas emissions.
